UID,NOTES,Latitude,Longitude,ACRES,PROJECT_TYPE_2,POPUP NAME,POLYGON_LAYER_ID,TYPE,ORIGIN,ORIGIN_2,ORIGIN_3,Project_Status,STAT_NUM,STAT_DESCRP,DESCRIPTION,IMPACT,DISCUSSION,WATER_DELIVERY,STUDIES_PROJECTS,ESTB_PTOTO,ADDL_RESOURCES,ADDL_PHOTOS
71,LORP EIR,36.86802653,-118.1959402,4738,Habitat,Thibaut Unit,Blackrock Waterfowl Thibaut,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section II.C.4</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",,Implemented and ongoing,50,"This unit is actively managed under a new 5-year Interim Management Plan (2021). Shallow basins will be seasonally filled in the fall and drained in the spring to discourage emergent vegetation and enhance waterfowl and shorebird habitat. The original LORP plan, which called for a year-round water supply, had unintentially promoted the growth of emergent vegetation such as cattails and bulrush, leading to the filling in of open-water habitats. Monitoring efforts include avian surveys, tracking flooded areas, and assessing forage production.",This habitat area is a sub-component of the Blackrock Waterfowl Management Area (BWMA) within the Lower Owens River Project (LORP). These units are cycled through to provide seasonally flooded acreage. The goal is to produce and maintain waterfowl habitat for resident and migratory waterfowl and other native species.,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/82e97bf70446426994b2898ee3efaac0/data,"<a href=""https://www.dropbox.com/sh/p9mb8k33lyoahhv/AADHYTVFpd9MnCGAlxmWUuiaa?dl=0"">Additional Resources</a>",
72,,37.45371563,-118.3427557,115,Revegetation,Laws 27 Irrigated Revegetation,Laws 27 (seed farm) Irrigation Revegetation,"Revised Project, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2021/06/Laws_Neg_Dec_3-17-03.pdf"">Mitigation in the Laws Area MND 2003</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"Buried drip irrigation is used to provide water to greenhouse grown native vegetation transplants. The project will be completed when cover and composition goals are met and vegetation is sustained once irrigation is discontinued. The project has accelerated and, other than service roads and staging areas, has been completly planted. The project has not yet met plant cover, species richness, and plant recruitment criteria. ","Three parcels in the Laws Ranch lease were irrigated agricultural fields, then abandoned, and had become a source of blowing dust. These lands will be revegetated with native plants that are similar in cover and species composition to nearby sites. Drip irrigation is used to maintain transplanted stock. Once established and demonstrated sustainable, irrigation will cease. ",Mitigates damages resulting from the abandonment of agriculture.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/4cbe6975bedf4ea6ba0207d3e8b5a4af/data,"<a href=""https://www.dropbox.com/sh/smuscqeb188qiwi/AAD2P2O2lgBaD0XZVRUEZygla?dl=0"">Additional Resources</a>",
73,,37.42233192,-118.3305759,94,Revegetation,Laws 90 Irrigated Revegetation,Laws 90 Irrigation Revegetation,"Revised Project, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2021/06/Laws_Neg_Dec_3-17-03.pdf"">Mitigation in the Laws Area MND 2003</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"Buried drip irrigation was used onsite to establish greenhouse-grown native vegetation transplants. Planting is nearly finished, with LADWP having planted all areas except for the service roads and staging areas. The project will be considered complete when cover and composition goals are met and the vegetation is sustained after irrigation is discontinued.  In July 2022, DWP determined that the parcel had met cover and composition goals and permanently ceased irrigation.  The project is under review as part of the MOU process, which began in 2023. A revised plan, including new monitoring goals and a longer time horizon for monitoring, is being developed in 2025. The project has not yet met criteria for plant cover, species richness, or sustainability.","Three parcels in the Laws Ranch lease were irrigated agricultural fields, then abandoned, and had become a source of blowing dust. These lands will be revegetated with native plants that are similar in cover and species composition to nearby sites. Drip irrigation is used to maintain transplanted stock. Once established and demonstrated sustainable, irrigation will cease. ",Mitigates damages resulting from the abandonment of agriculture.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/d37e91af365d4fdbaa9fff4540d4ddfb/data,"<a href=""https://www.dropbox.com/sh/smuscqeb188qiwi/AAD2P2O2lgBaD0XZVRUEZygla?dl=0"">Additional Resources</a>",
74,,37.41719398,-118.3329098,44,Revegetation,Laws 95 Irrigated Revegetation,Laws 95 Irrigation Revegetation,"Revised Project, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2021/06/Laws_Neg_Dec_3-17-03.pdf"">Mitigation in the Laws Area MND 2003</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"Buried drip irrigation was used onsite to establish greenhouse-grown native vegetation transplants. Planting is nearly finished, with LADWP having planted all areas except for the service roads and staging areas. The project will be considered complete when cover and composition goals are met and the vegetation is sustained after irrigation is discontinued.  In July 2022, DWP determined that the parcel had met cover and composition goals and permanently ceased irrigation.  The project is under review as part of the MOU process, which began in 2023. A revised plan, including new monitoring goals and a longer time horizon for monitoring, is being developed in 2025. The project has not yet met criteria for plant cover, species richness, or sustainability.","Three parcels in the Laws Ranch lease were irrigated agricultural fields, then abandoned, and had become a source of blowing dust. These lands will be revegetated with native plants that are similar in cover and species composition to nearby sites. Drip irrigation is used to maintain transplanted stock. Once established and demonstrated sustainable, irrigation will cease. ",Mitigates damages resulting from the abandonment of agriculture.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/e092db43bd8742789c7ac186890ff790/data,"<a href=""https://www.dropbox.com/sh/smuscqeb188qiwi/AAD2P2O2lgBaD0XZVRUEZygla?dl=0"">Additional Resources</a>",
75,,37.41724627,-118.3280424,39,Revegetation,Laws 94 Irrigated Revegetation,Laws 94 Irrigation Revegetation,"Revised Project, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2021/06/Laws_Neg_Dec_3-17-03.pdf"">Mitigation in the Laws Area MND 2003</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"Buried drip irrigation was used onsite to establish greenhouse-grown native vegetation transplants. Planting is nearly finished, with LADWP having planted all areas except for the service roads and staging areas. The project will be considered complete when cover and composition goals are met and the vegetation is sustained after irrigation is discontinued.  In July 2022, DWP determined that the parcel had met cover and composition goals and permanently ceased irrigation.  The project is under review as part of the MOU process, which began in 2023. A revised plan, including new monitoring goals and a longer time horizon for monitoring, is being developed in 2025. The project has not yet met criteria for plant cover, species richness, or sustainability.","Three parcels in the Laws Ranch lease were irrigated agricultural fields, then abandoned, and had become a source of blowing dust. These lands will be revegetated with native plants that are similar in cover and species composition to nearby sites. Drip irrigation is used to maintain transplanted stock. Once established and demonstrated sustainable, irrigation will cease. ",Mitigates damages resulting from the abandonment of agriculture.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/62c070842be845ad99a6addbb1226aff/data,"<a href=""https://www.dropbox.com/sh/smuscqeb188qiwi/AAD2P2O2lgBaD0XZVRUEZygla?dl=0"">Additional Resources</a>",
76,,37.39068232,-118.3195884,10,Revegetation,Laws 129/ 118 Irrigated Revegetation,Laws Area Revegetation 140,"Revised Project, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2021/06/Laws_Neg_Dec_3-17-03.pdf"">Mitigation in the Laws Area MND 2003</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"Buried drip irrigation was used onsite to establish greenhouse-grown native vegetation transplants. Planting is nearly finished, with LADWP having planted all areas except for the service roads and staging areas. The project will be considered complete when cover and composition goals are met and the vegetation is sustained after irrigation is discontinued.  In July 2022, DWP determined that the parcel had met cover and composition goals and permanently ceased irrigation.  The project is under review as part of the MOU process, which began in 2023. A revised plan, including new monitoring goals and a longer time horizon for monitoring, is being developed in 2025. The project has not yet met criteria for plant cover, species richness, or sustainability.","Three parcels in the Laws Ranch lease were irrigated agricultural fields, then abandoned, and had become a source of blowing dust. These lands will be revegetated with native plants that are similar in cover and species composition to nearby sites. Drip irrigation is used to maintain transplanted stock. Once established and demonstrated sustainable, irrigation will cease. ","Mitigates damages resulting from the abandonment of agriculture, including blowing dust.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/72a8f721ac1747e8be25d9f10a05813f/data,"<a href=""https://www.dropbox.com/sh/smuscqeb188qiwi/AAD2P2O2lgBaD0XZVRUEZygla?dl=0"">Additional Resources</a>",
77,,36.7869369,-118.122041,,Habitat LORP EIR,Lower Owens River,,,"<a href=""https://www.inyowater.org/documents/governing-documents/water-agreement/"">Water Agreement Section XII</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",,"Fully implemented, but not meeting goals",25,"While the river has played a central role in the success of the LORP and has been key to the recovery of lost habitat, the controlled flows have limited its function, making it resemble more of a canal than a natural river. With flows constrained to 40 cfs, and occasional excursions up to 200 cfs, the river lacks the energy to move sediments onto its banks to create germination beds for trees. Additionally, these flows do not provide sufficient power to clear the river of accumulated muck and emergent vegetation. As a result, many areas of the river are partially or fully occluded by cattail and bulrush, and water quality has become a concern. When the river is tasked with handling storm flows much greater than 200 cfs, anaerobic muck is released from the riverbed, triggering a chain of events that can kill fish. The buildup of emergent vegetation also obstructs access for anglers and other recreationists. While new hydrograph proposals have been made, limitations such as the capacity of pumpback stations, infrastructure constraints at road crossings, and other challenges have prevented experimentation with higher flows and variable pulses. High flows, up to 1,200 cfs, and flooding in 2023-2024 scoured the riverbed and floodplain in place. These unplanned flows reached pre-LAA levels, and the water dynamics may have mobilized muck and created conditions favorable for tree recruitment and improved water quality. Unfortunately, the flooding also appeared to mobilize weed populations, which had already been expanding in the project area.","In 2006 water was returned to the entirety of the lower section of the Owens River. Sixty two miles of river channel that had largely dried up since 1913, when the flow of the Owens River was diverted into the Los Angeles Aqueduct, was rewatered with a year-round 40 cubic feet per second (cfs) flow. A spring pulse is relased annually with a flow that is indexed to mountain runoff. The river irrigates the adjoining floodplain and enhances riparian vegetation that provides cover and food for wildlife.",,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/53027482f8074518962abf087c5f48ab/data,"<a href=""https://www.dropbox.com/sh/bkos170ftz0srze/AABKPOxn_g1sm2OnXyx8f6V8a?dl=0"">Additional Resources</a>",
79,,37.0187006,-118.2292337,,Revegetation EIR Revised,Tinemaha 54 Revegetation,,,"<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=363"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"LADWP has achieved native vegetation cover and composition, when measured in wet years, but has not documented that the vegetation cover is sustainable--a requirement in the 1999 Revegetation Plan. ","Approximately 80 acres of land that lost a significant amount of its native vegetation cover as a result of increased groundwater pumping and loss of spring discharge is subject to revegetation. The goal is to restore as full a native vegetation cover as is feasible, but at a minimum, vegetation cover sufficient to avoid blowing dust.",Restores vegetation conditions to that which existed prior to impact.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/7c387506285647cdbd99e4be4980f582/data,"<a href=""https://www.dropbox.com/sh/y5wd1t57utyw7ub/AADJCeY76LDp66E7ogm-EflCa?dl=0"">Additional Resources</a>",
78,,37.1627078,-118.2931755,,Civic,Big Pine Ditch,Big Pine Ditch System,EIR,"<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=373"">EIR Impact 10-19</a>",,,Implemented and ongoing,50,"An Initial Study and Mitigated Negative Declaration for the Big Pine Ditch System and Modification to the Klondike Lake Project in the Big Pine Area of Inyo County was circulated in 2003 and was approved by the Board of Water and Power Commissioners on November 12, 2003. The Water Agreement was also amended at this time, changing the project as originally described. Well 415, west of town, may provide make-up water. Testing of this well was conducted in 2021. Impacts to vegetation in the vicinity of the well will be monitored.","This civic project was provided with up to $100,000 to reconstruct and upgrade existing residential ditches in the community of Big Pine. A seasonal flow of up to 6 cfs is to be maintained in the head ditch. ",Community enhancement.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/e776a824aa5c4100a06797950e07d81c/data,"<a href=""https://www.dropbox.com/sh/j7shdukfpbgxn9p/AADccNTLMA3dcNMFqhxHxJQta?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/08d0cvhbohe00fy/AAB0YyxL7Y8nNObNSYSqrOLVa?dl=0
NA,duplicate for popup display,37.4376355,-118.3449076,64,,Laws/Poleta Native Pasture,Laws-Poleta Native Pasture,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",Implemented and ongoing,50,"One pasture, 2.5 miles north of Laws and just east of Hwy. 6 (160 acres, parcel 44) has achieved good pasture cover on 65-70% of the eastern half of the parcel. The other 60-acre pasture two miles southeast of Laws (parcel 138) adjoins the McNally Ponds and Pasture project. Due to the configuration of release points and topography, not all of this pasture can be effectively irrigated. LADWP has reported that they couldn't separate this project’s water accounting from adjacent irrigated parcels.","Provides water for irrigation of 220 acres of sparsely vegetated land, in two seperate locations, to reestablish native vegetation on abandoned pasture lands and increase livestock grazing capabilities. ",Mitigates the adverse impact of vegetation loss and blowing dust and increases grazing capacity.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/80cdc1ecc3aa480683c54851b33176a0/data,"<a href=""https://www.dropbox.com/sh/d1sm2lp0y76u5bd/AACxty1ZQi2yn8HTHawfhQQza?dl=0"">Additional Resources</a>",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
77,,37.39033447,,45,Revegetation,Laws 129/118 Irrigated Revegetation,Laws 129 Irrigation Revegetation,"Revised Project, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2021/06/Laws_Neg_Dec_3-17-03.pdf"">Mitigation in the Laws Area MND 2003</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2021/10/Laws-Neg-Dec-Reveg-plan-FINAL-3-17-03-copy.pdf"">MND Mitigation Plan</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>","Fully implemented, but not meeting goals",25,"Although the river has served a central role in the success of the LORP, and is primarily responsible for the recovery of lost habitat, the controlled flows in river have it functioning more like a canal than a natural river. Flows limited to 40 cfs with short excursions to 200 cfs cannot move sediments up onto the river banks so as to provide germination beds for trees, nor can these flows provide the power to clean the river of muck and emergent vegetation. As a result, the river in many places is partially or fully occluded by Cattail and Bulrush. When the river is called upon to move occasional storm flows much greater than 200 cfs, anerobic muck is liberated from the river bed and set off a chain of events that can kill a considerable number of fish. The emergent vegetation also walls off the river from anglers. New hydrographs have been proposed, but pumpback station limitations, and road river crossings infrastructue, and other impediments have prevented experimenting with higher flows and varible pulses. ","In 2006 water was returned to the entirety of the lower section of the Owens River. Sixty two miles of river channel that had largely dried up since 1913, when the flow of the Owens River was diverted into the Los Angeles Aqueduct, was rewatered with a year-round 40 cubic feet per second (cfs) flow. A spring pulse is relased annually with a flow that is indexed to mountain runoff. The river irrigates the adjoining floodplain and enhances riparian vegetation that provides cover and food for wildlife.","The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activities. ",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/53027482f8074518962abf087c5f48ab/data,"<a href=""https://www.dropbox.com/sh/y5wd1t57utyw7ub/AADJCeY76LDp66E7ogm-EflCa?dl=0"">Additional Resources</a>",
